Tarih,Piyasa,Ortalama_Değişim_Puani,Yorum
2025-06-19,Döviz,0.14666666666666664,Piyasa genel olarak olumlu hareket ediyor.
2025-06-19,Borsa,-0.10466666666666667,Piyasa genel olarak olumsuz hareket ediyor.
