tarih,metin
2025-06-13 18:23,"RT @HacSad69795: Biz zam teklifini öğrenince utandık, siz masada dinlerken utanmadınız mı? KamuişçisineHakaret @hakiskonf @turkiskonf
Kamui…"
2025-06-13 18:23,"RT @LargeRefug79287: Anh trai thẳng đồ đá banh zăm 🙈😊!

P/s: Clip chỉ là DEMO nhiều đoạn ngắn, vào nhóm có PHí để xem FULL HD toàn bộ clip…"
2025-06-13 18:23,"RT @emeginsesii: Ya istifa ya zam!

Kiramı ödeyin @memetsimsek 

Sözleşmemi istiyorum @isikhanvedat 

Neredesiniz @hakiskonf 

Güzel oynadı…"
2025-06-13 18:23,"RT @grk_yalcin: Biz zam teklifini öğrenince utandık, siz masada dinlerken utanmadınız mı? #KamuişçisineHakaret @hakiskonf @turkiskonf"
2025-06-13 18:23,"RT @keyna_zazaye: Bugün açıklanan %16’lık zam teklifi, kamu işçisine diz çöktürme girişimidir!
Ama bilinsin: #Kamuişçisi diz çökmez, hesap…"
2025-06-13 18:23,"RT @NerkisSeckin: Emeklicanlar bu taga destek veriniz lütfen 

14.469 TL aylık harçlık ile 
GE-Çİ-NE-Mİ-YO-RUZ 

ARA ZAM bekliyoruz. 

Hüku…"
2025-06-13 18:23,"RT @srpyzr2410: Artık yeter! GREV BİZİM SİLAHIMIZDIR! TÜHİS'in enflasyon altı zulmüne boyun eğmeyeceğiz! YAŞAMAK İÇİN, KAZANMAK İÇİN!
@turk…"
2025-06-13 18:23,"RT @SinanSn77667344: ✊ 600 BİNİ AŞKIN KAMU İŞÇİSİ 170 GÜNDÜR BEKLİYOR!
TÜHİS’in %16’lık zam teklifi sefalet dayatmasıdır!

📌 Enflasyon %15…"
2025-06-13 18:23,"RT @KamuIsciHaber: 📉 Enflasyon %75
💸 Teklif edilen zam %16
Sadaka değil, insanca yaşam istiyoruz!
Biz bu teklifi kabul etmiyoruz!
%16 – %8…"
2025-06-13 18:23,"RT @memurhaklari0: İşçileri tebrik etmek lazım iki yıl için %36 zam almalarına rağmen ses çıkarmaya başladılar.
Memur ise iki yıl için %27…"
2025-06-13 18:23,"RT @YalcinDoganVHP: Polise SEYYANEN zam vermeyecekseniz ;

Ayda 160 saat ve
Haftada 40 saat çalıştıracaksın.

Gece çalışan Polislere nöbet…"
2025-06-13 18:23,"RT @huseyinnceyhan: 📍Kamuişçisine Hakaret! Hükümetin kamu işçilerine zam teklifi belli oldu.

Kamu işçilerine 2025'in ilk yarısı için %16,…"
